[2023.08.30 10:53:09 - info ] Local executer inited, scale: 1, auto_clear: false, strict_sync: false, thread poolsize: 1, code_groups: 0
[2023.08.30 10:53:09 - info ] [exec_dw_etf]MiniImpactExecUnit SZSE.ETF.159901 inited, order price: BESTPX ¡À 0 ticks, order expired: 5 secs, order timespan:500 millisec, order qty: byrate @ 0.20 min_order: 0.00 is_cancel_unmanaged_order: true
[2023.08.30 11:28:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366002997 <= 1693366084139, execute later
[2023.08.30 11:28:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365864680 <= 1693366084139, execute later
[2023.08.30 11:28:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366005941 <= 1693366090134, execute later
[2023.08.30 11:28:11 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365880880 <= 1693366090134, execute later
[2023.08.30 11:28:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366011958 <= 1693366090134, execute later
[2023.08.30 11:28:13 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366020925 <= 1693366093142, execute later
[2023.08.30 11:28:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366068958 <= 1693366099208, execute later
[2023.08.30 11:28:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366081303 <= 1693366102140, execute later
[2023.08.30 11:28:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366013510 <= 1693366108196, execute later
[2023.08.30 11:28:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366113950 <= 1693366119989, execute later
[2023.08.30 11:28:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366117207 <= 1693366119989, execute later
[2023.08.30 11:28:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366123215 <= 1693366125998, execute later
[2023.08.30 11:28:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366125710 <= 1693366125998, execute later
[2023.08.30 11:28:46 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366126191 <= 1693366128973, execute later
[2023.08.30 11:28:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366129211 <= 1693366131850, execute later
[2023.08.30 11:28:52 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366134996 <= 1693366137710, execute later
[2023.08.30 11:28:52 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366132214 <= 1693366137710, execute later
[2023.08.30 11:28:55 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366135234 <= 1693366137710, execute later
[2023.08.30 11:29:04 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366144132 <= 1693366146540, execute later
[2023.08.30 11:29:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366146740 <= 1693366146914, execute later
[2023.08.30 11:29:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366147182 <= 1693366149964, execute later
[2023.08.30 11:29:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366146740 <= 1693366149964, execute later
[2023.08.30 11:29:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366150190 <= 1693366152972, execute later
[2023.08.30 11:29:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366156234 <= 1693366159017, execute later
[2023.08.30 11:29:31 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366171142 <= 1693366173924, execute later
[2023.08.30 11:29:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693366189133 <= 1693366189830, execute later
[2023.08.30 12:59:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371597937 <= 1693371604030, execute later
[2023.08.30 13:00:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371603728 <= 1693371606850, execute later
[2023.08.30 13:00:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371600959 <= 1693371606850, execute later
[2023.08.30 13:00:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371603963 <= 1693371606850, execute later
[2023.08.30 13:00:09 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371609887 <= 1693371612920, execute later
[2023.08.30 13:00:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371612882 <= 1693371619060, execute later
[2023.08.30 13:00:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371615898 <= 1693371619060, execute later
[2023.08.30 13:00:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371618949 <= 1693371621717, execute later
[2023.08.30 13:00:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371624676 <= 1693371627280, execute later
[2023.08.30 13:00:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371621903 <= 1693371627280, execute later
[2023.08.30 13:00:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371627714 <= 1693371630820, execute later
[2023.08.30 13:00:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371624945 <= 1693371630820, execute later
[2023.08.30 13:00:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371627894 <= 1693371633240, execute later
[2023.08.30 13:00:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371630882 <= 1693371633240, execute later
[2023.08.30 13:00:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371633958 <= 1693371636732, execute later
[2023.08.30 13:00:42 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371642894 <= 1693371645674, execute later
[2023.08.30 13:00:45 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693371645899 <= 1693371648668, execute later
