code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
CFFEX.IF.HOT,LONG,201909121310,3951.6,201909121325,3962,1,3120,3120,0,-21483.7,enterlong,exitlong,121,124
CFFEX.IF.HOT,LONG,201909121330,3964,201909121340,3960.8,1,-960,660,-960,-22881,enterlong,exitlong,125,127
CFFEX.IF.HOT,SHORT,201909121350,3960.4,201909121405,3963,1,-780,960,-1140,-24098.5,entershort,exitshort,129,132
CFFEX.IF.HOT,SHORT,201909121410,3960.8,201909121415,3965.2,1,-1320,0,-1440,-25856.2,entershort,exitshort,133,134
CFFEX.IF.HOT,LONG,201909121420,3971.6,201909121425,3973.6,1,600,960,-900,-25694.9,enterlong,exitlong,135,136
CFFEX.IF.HOT,LONG,201909121430,3981.4,201909121435,3978.4,1,-900,480,-1860,-27034.1,enterlong,exitlong,137,138
CFFEX.IF.HOT,SHORT,201909121445,3981.4,201909161000,3956.8,1,7380,8520,-720,-19708.9,entershort,exitshort,140,149
CFFEX.IF.HOT,LONG,201909161005,3957.2,201909161035,3970,1,3840,5520,-780,-16307.1,enterlong,exitlong,150,156
CFFEX.IF.HOT,SHORT,201909161045,3963.2,201909161100,3960,1,960,2880,0,-15784.3,entershort,exitshort,158,161
CFFEX.IF.HOT,LONG,201909161110,3963.6,201909161310,3961.8,1,-540,1620,-600,-16761.7,enterlong,exitlong,163,169
CFFEX.IF.HOT,SHORT,201909161320,3959,201909161335,3963,1,-1200,240,-1320,-18399.2,entershort,exitshort,171,174
CFFEX.IF.HOT,LONG,201909161340,3963.8,201909161345,3965,1,360,840,-660,-18476.9,enterlong,exitlong,175,176
CFFEX.IF.HOT,SHORT,201909161350,3961.8,201909161355,3964.8,1,-900,180,-960,-19814.6,entershort,exitshort,177,178
CFFEX.IF.HOT,LONG,201909161400,3966.4,201909161405,3959.8,1,-1980,120,-2340,-22231.9,enterlong,exitlong,179,180
CFFEX.IF.HOT,LONG,201909161410,3959.6,201909161420,3956.6,1,-900,720,-840,-23568.7,enterlong,exitlong,181,183
CFFEX.IF.HOT,LONG,201909161430,3956.4,201909161435,3952.2,1,-1260,360,-1620,-25265,enterlong,exitlong,185,186
CFFEX.IF.HOT,SHORT,201909161440,3944.2,201909161450,3947.6,1,-1020,1680,-1140,-26720.8,entershort,exitshort,187,189
CFFEX.IF.HOT,LONG,201909161455,3955,201909170940,3936.2,1,-5640,1980,-6120,-32415.3,enterlong,exitlong,190,193
CFFEX.IF.HOT,LONG,201909170945,3933.6,201909171000,3933.6,1,0,1320,-1440,-32849.5,enterlong,exitlong,194,197
CFFEX.IF.HOT,SHORT,201909171005,3926.2,201909171010,3932.2,1,-1800,480,-1860,-35083.6,entershort,exitshort,198,199
CFFEX.IF.HOT,LONG,201909171035,3936.4,201909171040,3932.4,1,-1200,240,-1260,-36717.8,enterlong,exitlong,204,205
CFFEX.IF.HOT,SHORT,201909171100,3933.6,201909171115,3935.4,1,-540,960,-960,-37692.2,entershort,exitshort,209,212
CFFEX.IF.HOT,SHORT,201909171125,3932.8,201909171340,3915.4,1,5220,6540,0,-32904.6,entershort,exitshort,214,223
CFFEX.IF.HOT,SHORT,201909171350,3908,201909171400,3902,1,1800,3600,-420,-31535.4,entershort,exitshort,225,227
CFFEX.IF.HOT,SHORT,201909171410,3895,201909171420,3898.2,1,-960,540,-2160,-32925.8,entershort,exitshort,229,231
CFFEX.IF.HOT,SHORT,201909171425,3890.6,201909171450,3888.2,1,720,4380,-900,-32635.1,entershort,exitshort,232,237
CFFEX.IF.HOT,LONG,201909171455,3898,201909180935,3903.4,1,1620,120,-3960,-31068.9,enterlong,exitlong,238,240
