[2023.07.19 16:10:27 - info ] Trading sessions loaded
[2023.07.19 16:10:27 - info ] Commodities configuration file ../common/commodities_stk.json loaded
[2023.07.19 16:10:27 - info ] Contracts configuration file ../common/contracts_new.json loaded, 2 exchanges
[2023.07.19 16:10:28 - info ] ClosingTask of 603776[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603920[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603659[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601727[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603348[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603877[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601117[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603278[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603679[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603180[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603579[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603298[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603890[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600926[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603499[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603618[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603733[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600498[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603668[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688772[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688689[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688350[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603336[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603677[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600096[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603638[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600350[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603535[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601137[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601336[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601318[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 605162[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601900[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600005[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603681[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688096[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601686[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688219[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688556[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601838[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600909[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688066[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688166[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601989[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603345[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600068[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603185[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600160[SSE] done, 0 datas processed totally
